"","council_id","leave_share","BNP_vote_share","Conservative_vote_share","Green_vote_share","LD_vote_share","Labour_vote_share","UKIP_vote_share","agriculture","eu_eco_dependence","fiscal_cuts","eu_15_imm_growth","immigrant_share","median_wage_growth","unemployment"
"66",75,72.2821462535662,1.64159047603607,19.4645729064941,3.40702486038208,1.67848014831543,22.7793731689453,45.890754699707,0.4,10.1,-88.8069305419922,0.333268135786057,15.1515151515152,0.266538172960281,6.3
"67",76,61.0195304823666,0.821937918663025,27.4109363555908,8.3372631072998,5.97957754135132,14.1965169906616,39.4530181884766,0.68,10.1,-87.3087387084961,-0.0276661515235901,7.69230769230769,-10.3125429153442,3.9
"68",77,60.4316630288395,1.0243376493454,29.8932018280029,6.82763385772705,5.70574045181274,14.7771615982056,37.5616149902344,0.68,10.1,-165.707855224609,0.281076639890671,9.39597315436242,-7.8953742980957,5.3
"69",78,56.4474665779347,0.733756363391876,32.0056419372559,7.166672706604,7.53713607788086,11.3672485351562,37.8398399353027,0.68,10.1,-226.399200439453,0.108792543411255,8.38709677419355,-4.30108213424683,5.4
"70",79,69.1474163457593,1.22875547409058,26.0242404937744,5.2956690788269,2.76358699798584,14.2564582824707,45.2335624694824,0.68,10.1,-149.581420898438,0.0728613957762718,6.47887323943662,-13.1793737411499,5.4
"71",101,47.6691190021966,0.76081383228302,33.462272644043,7.97999668121338,7.74776363372803,18.7140254974365,26.9739837646484,0.41,9.4,-210.164825439453,0.287941038608551,19.6078431372549,-4.60882091522217,3.7
"72",102,49.8092215767186,0.840092062950134,29.9004783630371,8.01416683197021,8.33575344085693,16.9562587738037,31.7527885437012,0.775,9.4,-264.465576171875,0.557752370834351,15.1851851851852,-3.42502784729004,4.6
"73",103,43.2037886151376,0.659829020500183,30.3555278778076,12.7159852981567,10.3367557525635,18.024019241333,23.7894649505615,0.87,9.4,-259.702880859375,0.59324049949646,15.5354449472097,-1.81602692604065,3.5
"74",104,31.3802624850861,0.407753944396973,20.6199436187744,24.525936126709,5.31135749816895,26.9381484985352,18.7448043823242,0.4,8.1,-27.1324768066406,0.937385201454163,14.6428571428571,-3.03957915306091,5.9
"75",105,54.5326314844617,0.565659284591675,28.418025970459,9.14014434814453,9.15619087219238,12.8256216049194,35.5248718261719,1.24,8.1,-71.8972320556641,0.34184804558754,9.00562851782364,-4.25241756439209,5
"76",106,46.8813851318334,0.620597362518311,37.8990859985352,8.20061016082764,9.02807426452637,11.1099672317505,28.8067970275879,0.6,8.1,-266.475921630859,0.186859220266342,15.3745072273325,-8.02286148071289,3.7
"77",107,49.6664947567475,0.675332546234131,36.1819648742676,8.65993690490723,9.30765056610107,9.76113891601562,30.9209651947021,0.6,8.1,-262.157958984375,0.263071447610855,12.1134020618557,-7.76982164382935,3.3
"78",108,55.9608673834851,0.600980401039124,31.6279373168945,8.66089725494385,6.71990346908569,10.3844785690308,37.4219818115234,1.4,8.1,-146.264877319336,0.263845056295395,5.05747126436782,2.23623156547546,3.6
"79",109,50.2567884442992,0.647834241390228,32.6174240112305,8.1316385269165,7.3860912322998,14.475136756897,32.4747657775879,1.4,8.1,-229.408325195312,0.434409081935883,12.9533678756477,-0.50272673368454,5
"80",110,58.0794165316045,1.03669607639313,22.1781177520752,10.3542919158936,10.1917152404785,16.9946365356445,34.2299728393555,0.4,13.1,-96.8653030395508,0.2249586135149,12.5,-1.20479357242584,5.9
"81",111,53.8030000464403,0.949794054031372,21.5124759674072,10.3649873733521,6.06932783126831,26.2272663116455,29.2349491119385,0.675,13.1,-108.76252746582,0.44195082783699,19.4331983805668,-3.32226085662842,5.4
"82",112,61.9463340891912,0.828029036521912,26.291332244873,10.8545036315918,5.54554176330566,10.443305015564,40.9311103820801,1.12,13.1,3.42895546054933e-05,0.16499537229538,5.18518518518519,-4.63436508178711,6.8
"83",113,57.8043202993593,0.814535856246948,30.2499256134033,7.13565635681152,11.0680093765259,10.02685546875,35.9178047180176,0.81,13.1,-185.237228393555,0.237416446208954,5.56792873051225,-1.13684678077698,3.6
"84",114,50.9741164624334,0.554977238178253,36.6668167114258,9.22961044311523,10.2833642959595,8.22056007385254,31.1764354705811,0.81,13.1,-261.740112304688,0.201764240860939,5.49242424242424,-0.656378030776978,2.8
